id,date_achieved,stage,difficulty,stage_time,system,video_id,comments
86,11/27/19,Facility,Agent,0:01:23,NTSC,zq95tULTBro,
87,11/27/19,Facility,Agent,0:01:14,NTSC,jImH4-ppJUI,
88,12/3/19,Statue,Agent,0:02:55,NTSC,aHPp9CRt8T4,
89,12/3/19,Statue,Secret Agent,0:03:12,NTSC,AXphlz6lzC8,
90,12/3/19,Statue,00 Agent,0:02:52,NTSC,lTV1k7WbR6k,
91,12/3/19,Control,Agent,0:06:31,NTSC,,OBS pls
92,12/3/19,Silo,Agent,0:03:00,NTSC,pYtLe_iVfQM,LUL
93,12/3/19,Control,Agent,0:05:29,NTSC,OK1RwhaiDvI,
94,12/3/19,Jungle,Agent,0:03:13,NTSC,2gERZFrKj2Q,Sub-12 total time. ...Yay?
95,12/3/19,Streets,Agent,0:01:15,NTSC,Sf_t01uZESw,"After 36 1:16 dupes:

~1:15.1

I am really close to 1:14, which is almost worth points.
The video to the left is a duped 1:15. I didn't realize there was no sound in my first 1:15 from earlier today, linked here:
https://www.youtube.com/watch?v=tupk-uMQN54

Original 1:15 comments:
...And her name is Erika.

1:15.55

I've lost track of the number of 1:16s I've gotten; probably 30 or so, if I had to guess."
96,12/6/19,Surface 1,00 Agent,0:02:41,NTSC,Uxt33VfQEeI,
97,12/6/19,Runway,00 Agent,0:01:33,NTSC,Td3TYP4gtsE,
98,12/6/19,Bunker 1,Secret Agent,0:02:34,NTSC,0_4NIpJlDCc,
99,12/6/19,Streets,Secret Agent,0:02:44,NTSC,uP76l5baTlQ,
100,12/6/19,Streets,00 Agent,0:02:13,NTSC,WF86rMoz0wY,
101,12/6/19,Facility,00 Agent,0:09:10,NTSC,AbLpkND4mpI,
102,12/6/19,Silo,Secret Agent,0:05:10,NTSC,yd11BkTOdec,
103,12/6/19,Frigate,Secret Agent,0:05:42,NTSC,TRnb4sFQc34,"This brings me to sub-10 hours total time! Woooo!

From 10:05:55 to 9:51:37"
104,12/13/19,Bunker 1,Agent,0:00:36,NTSC-J,,"Didn't record. Will improve soon.

Also, first PB with my new Japanese cart!"
105,12/13/19,Frigate,Agent,0:00:57,NTSC-J,,No video.
106,12/13/19,Bunker 2,Agent,0:01:04,NTSC-J,,No video
107,12/13/19,Statue,Agent,0:02:46,NTSC-J,,No video
108,12/13/19,Train,Agent,0:04:23,NTSC-J,,No video
109,12/14/19,Surface 2,Agent,0:01:12,NTSC-J,VbWOYxIYNjI,
110,12/14/19,Bunker 2,Agent,0:01:02,NTSC-J,rEk0z0R8Is8,
111,12/14/19,Train,Agent,0:02:22,NTSC-J,3WnIYqn5ez8,
112,12/14/19,Bunker 1,Agent,0:00:31,NTSC-J,,No video
113,12/14/19,Bunker 1,Agent,0:00:30,NTSC-J,ur92tkBflwo,
114,12/14/19,Frigate,Agent,0:00:46,NTSC-J,Wooi91YGoH4,
115,12/14/19,Statue,Agent,0:02:43,NTSC-J,4FnE5-Er4iE,
116,12/14/19,Statue,Secret Agent,0:03:11,NTSC-J,,No video
117,12/15/19,Facility,00 Agent,0:07:25,NTSC-J,,No video
118,12/15/19,Runway,00 Agent,0:01:14,NTSC-J,,No video
119,12/15/19,Bunker 1,00 Agent,0:05:27,NTSC-J,,No video
120,12/15/19,Silo,00 Agent,0:07:11,NTSC-J,,No video
121,12/15/19,Frigate,00 Agent,0:07:41,NTSC-J,,No video
122,12/15/19,Surface 2,00 Agent,0:06:01,NTSC-J,,No video
123,12/15/19,Bunker 2,00 Agent,0:23:37,NTSC-J,,I really hate this level. It can go f*** itself.
124,12/15/19,Archives,00 Agent,0:08:38,NTSC-J,,No video
125,12/15/19,Statue,00 Agent,0:02:40,NTSC-J,,No video
126,12/15/19,Streets,00 Agent,0:02:05,NTSC-J,V7utZF2b3Ts,"This video is a dupe of my original 2:05. I achieved the dupe on the 19th of December 2019, just 4 days after originally setting this PB."
127,12/15/19,Depot,00 Agent,0:04:14,NTSC-J,,No video
128,12/16/19,Train,00 Agent,0:07:15,NTSC-J,zuxOrQ7kpUI,"I'm still shaking as I type this. I hope I never have to play this level again anytime soon.

As for the cheat, how badly do I really need a Silver PP7?"
129,12/16/19,Jungle,00 Agent,0:08:12,NTSC-J,JmEgLzHrQPU,
130,12/16/19,Control,00 Agent,0:12:16,NTSC-J,NsReIFuzkM4,12:16 on 12/16 LUL
131,12/16/19,Caverns,00 Agent,0:14:32,NTSC-J,LxYxB1AV6j0,
132,12/16/19,Aztec,Agent,0:06:20,NTSC-J,tVkdffpEZb8,Heck yeah!
133,12/16/19,Aztec,Secret Agent,0:11:12,NTSC-J,64aQUfkASzM,
134,12/17/19,Aztec,Agent,0:04:45,NTSC-J,OEZtu6WW0Bg,
135,12/17/19,Aztec,Secret Agent,0:04:49,NTSC-J,9qy3S-qSXac,
136,12/17/19,Aztec,00 Agent,0:12:20,NTSC-J,I7l-79mMi2s,That was the most scared I've ever been playing any level in GE. I've finally completed Aztec on 00A!
137,12/17/19,Egypt,00 Agent,0:01:24,NTSC-J,dkrnNTb0Dd0,[New Cheat Available] and 007 mode unlocked!
138,12/17/19,Egypt,Secret Agent,0:01:17,NTSC-J,vhrc-tw32J4,
139,12/17/19,Egypt,Agent,0:01:10,NTSC-J,es_SbjE3wVw,
140,12/18/19,Bunker 2,Secret Agent,0:11:46,NTSC-J,8IaOH6C2cu0,
141,12/18/19,Statue,Secret Agent,0:02:58,NTSC-J,zzzjnvBA6dk,
142,12/18/19,Archives,Secret Agent,0:02:12,NTSC-J,2eanUWvv-lY,
143,12/18/19,Train,Secret Agent,0:06:47,NTSC-J,CVh9yohVvZY,Nice.
144,12/18/19,Jungle,Secret Agent,0:06:31,NTSC-J,P7MH7wLow6E,
145,12/18/19,Control,Secret Agent,0:09:59,NTSC-J,OZuUk22j6-I,
146,12/18/19,Caverns,Secret Agent,0:09:48,NTSC-J,2WlvDnzPE8M,
147,12/18/19,Surface 2,Secret Agent,0:02:04,NTSC-J,alPTZO6UP4Q,
148,12/18/19,Bunker 2,00 Agent,0:20:51,NTSC-J,H-lBLY6w7eY,
149,12/18/19,Bunker 2,00 Agent,0:11:08,NTSC-J,7IZQKD3sHK0,
150,12/18/19,Depot,Secret Agent,0:02:01,NTSC-J,MJuejtRhhBg,
151,12/19/19,Facility,00 Agent,0:04:07,NTSC-J,6KLReu-QJMk,
152,12/19/19,Runway,00 Agent,0:01:11,NTSC-J,SKnLjGQ5deo,
153,12/19/19,Bunker 1,00 Agent,0:02:28,NTSC-J,8-jIRQyiStI,
154,12/19/19,Silo,00 Agent,0:04:17,NTSC-J,0z0NhMvjXqU,
155,12/19/19,Frigate,00 Agent,0:04:13,NTSC-J,z91SaGCWxC0,
156,12/19/19,Surface 2,00 Agent,0:03:45,NTSC-J,d9KBpVMPwoY,
157,12/19/19,Depot,00 Agent,0:03:27,NTSC-J,KYU7NIZFm5E,
158,12/19/19,Archives,00 Agent,0:01:35,NTSC-J,n_2fuXomTVA,Fun fact: This time brought me to 420th in time ranks.
159,12/19/19,Statue,00 Agent,0:02:39,NTSC-J,tIZ-MyLqflE,
160,12/31/19,Bunker 1,Agent,0:00:25,NTSC-J,SdqWP-HxG40,"No longer in 420th place, FeelsBadMan. 12/19/19 - 12/31/19.

Also, last PB of 2019!"
161,1/6/20,Silo,Secret Agent,0:03:51,NTSC-J,M8t9lFUEZno,
