id,date_achieved,stage,difficulty,stage_time,system
139,2/16/20,Investigation,Perfect Agent,0:09:51,j
140,2/16/20,Escape,Agent,0:03:29,j
141,2/17/20,Defection,Agent,0:00:43,j
142,2/17/20,Defection,Agent,0:00:32,j
143,2/18/20,Extraction,Perfect Agent,0:07:42,j
144,2/19/20,Villa,Perfect Agent,0:08:50,j
145,2/19/20,Defection,Special Agent,0:00:54,j
146,2/19/20,Defection,Special Agent,0:00:51,j
147,2/19/20,Defection,Special Agent,0:00:50,j
148,2/21/20,Chicago,Agent,0:00:24,j
149,2/21/20,Chicago,Special Agent,0:00:49,j
150,2/21/20,Chicago,Special Agent,0:00:45,j
151,2/21/20,Chicago,Special Agent,0:00:42,j
152,2/21/20,Chicago,Agent,0:00:22,j
153,2/21/20,Chicago,Perfect Agent,0:00:51,j
154,2/29/20,G5,Perfect Agent,0:04:28,j
155,3/19/20,Pelagic II,Special Agent,0:04:56,j
156,3/19/20,Pelagic II,Agent,0:01:24,j
157,3/19/20,Chicago,Agent,0:00:21,j
158,3/19/20,Chicago,Agent,0:00:20,j
159,3/19/20,Chicago,Agent,0:00:19,j
160,3/20/20,Pelagic II,Agent,0:01:19,j
161,3/20/20,G5,Agent,0:01:39,j
162,3/21/20,Infiltration,Perfect Agent,0:09:24,j
163,3/22/20,Maian SOS,Agent,0:03:06,j
164,3/24/20,Crash Site,Agent,0:01:46,j
165,3/24/20,Crash Site,Special Agent,0:02:10,j
166,3/24/20,Deep Sea,Agent,0:04:56,j
167,4/15/20,Villa,Special Agent,0:02:50,j
168,4/15/20,Villa,Agent,0:01:49,j
169,4/15/20,Villa,Agent,0:01:37,j
170,4/20/20,Investigation,Agent,0:01:27,j
171,4/20/20,Investigation,Agent,0:01:26,j
